pollster,state,sample_size,methodology,population,candidate_name,party,pct,pollster_rating_name,election_date,poll_start_date,poll_end_date,supports_candidate
InsiderAdvantage,Arizona,1172,App Panel,rv,Kamala Harris,DEM,46.9378139641456,A,2024-11-05,2024-09-01,2024-10-09,no
YouGov,Pennsylvania,415,App Panel,lv,Jill Stein,GRE,44.98355844968206,A+,2024-11-05,2024-09-19,2024-10-09,no
InsiderAdvantage,Pennsylvania,1122,Online Panel,rv,Kamala Harris,DEM,48.18160143541391,A,2024-11-05,2024-09-18,2024-10-10,no
InsiderAdvantage,Arizona,1372,Online Panel,lv,Jill Stein,GRE,44.72382620766968,B,2024-11-05,2024-09-16,2024-10-10,no
InsiderAdvantage,Ohio,1240,Text,lv,Kamala Harris,DEM,52.687098657139785,A,2024-11-05,2024-09-15,2024-10-09,yes
ActiVote,Texas,1408,Text,rv,Kamala Harris,DEM,54.01409537230906,C,2024-11-05,2024-09-17,2024-10-08,yes
InsiderAdvantage,Texas,511,App Panel,lv,Kamala Harris,DEM,46.002574492614535,A,2024-11-05,2024-09-19,2024-10-08,no
YouGov,Pennsylvania,1123,App Panel,rv,Kamala Harris,DEM,46.66010212382388,A+,2024-11-05,2024-10-02,2024-10-09,no
ActiVote,Florida,1350,Text,lv,Jill Stein,GRE,46.30506254303187,A+,2024-11-05,2024-09-26,2024-10-08,no
ActiVote,Pennsylvania,1472,Text,rv,Jill Stein,GRE,47.007280370675176,B,2024-11-05,2024-09-29,2024-10-09,no
InsiderAdvantage,Ohio,1301,App Panel,lv,Jill Stein,GRE,52.59021680119354,A+,2024-11-05,2024-10-07,2024-10-10,yes
ActiVote,Texas,1298,Text,rv,Donald Trump,REP,45.822485935578875,C,2024-11-05,2024-09-08,2024-10-10,no
ActiVote,Arizona,635,Online Panel,lv,Kamala Harris,DEM,56.07464863139388,A,2024-11-05,2024-09-26,2024-10-10,yes
ActiVote,Texas,1232,Online Panel,lv,Donald Trump,REP,49.71275905984673,C,2024-11-05,2024-09-01,2024-10-09,no
ActiVote,Ohio,757,Online Panel,rv,Jill Stein,GRE,46.53890486085755,C,2024-11-05,2024-09-08,2024-10-09,no
ActiVote,Ohio,1190,App Panel,lv,Jill Stein,GRE,47.17783471060439,B,2024-11-05,2024-09-19,2024-10-10,no
YouGov,Texas,1485,Text,rv,Kamala Harris,DEM,51.3089118772715,A,2024-11-05,2024-09-29,2024-10-10,yes
InsiderAdvantage,Ohio,1051,App Panel,lv,Kamala Harris,DEM,48.509137053659124,A,2024-11-05,2024-09-06,2024-10-10,no
YouGov,Texas,487,App Panel,rv,Kamala Harris,DEM,54.81992013308673,A+,2024-11-05,2024-10-05,2024-10-10,yes
InsiderAdvantage,Ohio,406,Online Panel,rv,Jill Stein,GRE,39.69463434131199,A+,2024-11-05,2024-10-04,2024-10-08,no
YouGov,Texas,411,App Panel,rv,Jill Stein,GRE,52.34571200449522,B,2024-11-05,2024-09-06,2024-10-10,yes
InsiderAdvantage,Pennsylvania,1449,Online Panel,rv,Kamala Harris,DEM,60.10899966589035,A,2024-11-05,2024-09-08,2024-10-09,yes
YouGov,Ohio,1457,Online Panel,rv,Kamala Harris,DEM,50.875574016759074,A,2024-11-05,2024-09-08,2024-10-10,yes
InsiderAdvantage,Ohio,878,Text,rv,Jill Stein,GRE,48.17498723257472,C,2024-11-05,2024-09-14,2024-10-09,no
InsiderAdvantage,Florida,637,Text,rv,Kamala Harris,DEM,49.60505993885906,B,2024-11-05,2024-10-02,2024-10-10,no
ActiVote,Arizona,913,App Panel,lv,Kamala Harris,DEM,56.059239160168985,C,2024-11-05,2024-09-29,2024-10-09,yes
YouGov,Florida,1224,Online Panel,rv,Jill Stein,GRE,45.01167002611044,C,2024-11-05,2024-09-23,2024-10-08,no
InsiderAdvantage,Arizona,821,Online Panel,lv,Donald Trump,REP,55.1127468612281,C,2024-11-05,2024-09-15,2024-10-10,yes
ActiVote,Texas,1023,Text,lv,Jill Stein,GRE,46.19405127561187,A,2024-11-05,2024-10-05,2024-10-10,no
ActiVote,Florida,1336,Online Panel,rv,Kamala Harris,DEM,47.994065797989634,A,2024-11-05,2024-09-09,2024-10-08,no
YouGov,Texas,926,App Panel,lv,Jill Stein,GRE,47.23690776592211,C,2024-11-05,2024-09-21,2024-10-09,no
ActiVote,Pennsylvania,764,App Panel,lv,Donald Trump,REP,55.80873923318288,C,2024-11-05,2024-10-06,2024-10-10,yes
InsiderAdvantage,Pennsylvania,555,App Panel,rv,Donald Trump,REP,49.185757569152685,B,2024-11-05,2024-09-22,2024-10-10,no
ActiVote,Pennsylvania,1238,Text,rv,Jill Stein,GRE,52.46185134780406,A,2024-11-05,2024-09-15,2024-10-09,yes
YouGov,Florida,598,Text,lv,Kamala Harris,DEM,52.12959907609869,B,2024-11-05,2024-09-08,2024-10-08,yes
YouGov,Texas,1277,App Panel,rv,Donald Trump,REP,50.67097495212029,A+,2024-11-05,2024-09-07,2024-10-10,yes
InsiderAdvantage,Florida,825,Online Panel,rv,Kamala Harris,DEM,44.47858356505873,B,2024-11-05,2024-10-03,2024-10-08,no
YouGov,Ohio,532,Text,lv,Kamala Harris,DEM,47.03340437549989,B,2024-11-05,2024-10-02,2024-10-08,no
InsiderAdvantage,Florida,1406,Text,rv,Kamala Harris,DEM,53.2459514388383,C,2024-11-05,2024-09-28,2024-10-08,yes
YouGov,Ohio,768,Online Panel,rv,Jill Stein,GRE,44.38977115542058,A+,2024-11-05,2024-09-05,2024-10-09,no
InsiderAdvantage,Arizona,1122,App Panel,rv,Donald Trump,REP,47.31693197870605,A,2024-11-05,2024-09-07,2024-10-09,no
YouGov,Arizona,1325,Online Panel,rv,Kamala Harris,DEM,52.73287408408248,A+,2024-11-05,2024-09-27,2024-10-10,yes
ActiVote,Pennsylvania,1015,Text,lv,Jill Stein,GRE,51.21850383347515,C,2024-11-05,2024-09-05,2024-10-09,yes
InsiderAdvantage,Florida,479,Online Panel,rv,Kamala Harris,DEM,55.07779747278825,B,2024-11-05,2024-09-05,2024-10-10,yes
InsiderAdvantage,Arizona,456,App Panel,rv,Jill Stein,GRE,51.92400269449671,B,2024-11-05,2024-09-19,2024-10-08,yes
InsiderAdvantage,Arizona,499,Text,rv,Jill Stein,GRE,48.46026311001956,C,2024-11-05,2024-09-12,2024-10-08,no
InsiderAdvantage,Pennsylvania,1150,App Panel,lv,Kamala Harris,DEM,40.29278742164194,A,2024-11-05,2024-10-06,2024-10-10,no
InsiderAdvantage,Pennsylvania,793,Text,lv,Kamala Harris,DEM,57.10271985375327,C,2024-11-05,2024-09-17,2024-10-10,yes
ActiVote,Ohio,904,Online Panel,lv,Kamala Harris,DEM,41.26243175462091,C,2024-11-05,2024-09-09,2024-10-08,no
YouGov,Texas,1240,App Panel,rv,Kamala Harris,DEM,48.505696261308586,A,2024-11-05,2024-09-23,2024-10-08,no
InsiderAdvantage,Pennsylvania,1368,Online Panel,rv,Jill Stein,GRE,51.62358358885743,A+,2024-11-05,2024-09-09,2024-10-09,yes
