poll_id,date,pollster,state,method,voter_type,sample_size,margin_of_error,harris_pct,trump_pct,undecided
1,2024-01-12,Emerson,NV,Mixed,LV,1080,3,44.7,50.5,4.8
2,2024-01-15,Emerson,AZ,Mixed,LV,931,3.2,49.5,44.7,5.8
3,2024-01-17,YouGov,MI,Online,RV,969,3.1,53.7,42.3,4
4,2024-01-19,Siena College,MI,Phone,LV,961,3.2,51,45.5,3.5
5,2024-01-19,Emerson,PA,Mixed,RV,1032,3.1,52.1,46.8,1.1
6,2024-01-19,RMG Research,NAT,Mixed,RV,1033,3,46.7,48.2,5.1
7,2024-01-20,RMG Research,WI,Mixed,RV,847,3.4,48.2,45,6.8
8,2024-01-25,Siena College,AZ,Phone,RV,917,3.2,49.3,44.2,6.5
9,2024-01-26,Emerson,NV,Mixed,RV,1095,3,47.6,48.1,4.3
10,2024-01-27,Emerson,NV,Mixed,RV,1014,3.1,44.5,49.9,5.7
11,2024-01-27,Morning Consult,PA,Online,RV,1022,3.1,50,45.2,4.8
12,2024-01-27,Siena College,NAT,Phone,RV,940,3.2,48.7,45.4,6
13,2024-01-28,Morning Consult,NAT,Online,RV,894,3.3,49.2,45.6,5.2
14,2024-01-29,Emerson,NAT,Mixed,RV,831,3.4,48.5,47,4.5
15,2024-01-29,Siena College,NAT,Phone,RV,1010,3.1,42.9,49.1,8
16,2024-01-30,Emerson,AZ,Mixed,RV,1035,3,48.5,43.9,7.6
17,2024-01-30,Siena College,NV,Phone,RV,1195,2.8,45.2,50.2,4.6
18,2024-02-01,Emerson,PA,Mixed,RV,1126,2.9,50.5,45.2,4.3
19,2024-02-01,Morning Consult,GA,Online,RV,893,3.3,50,42.6,7.4
20,2024-02-04,Siena College,PA,Phone,LV,1003,3.1,47.3,48.1,4.6
21,2024-02-09,Siena College,MI,Phone,RV,1079,3,51.3,46.7,2
22,2024-02-11,Siena College,GA,Phone,LV,1035,3,42.9,47.8,9.3
23,2024-02-12,RMG Research,MI,Mixed,LV,1038,3,50.2,47.8,2
24,2024-02-13,Siena College,GA,Phone,RV,954,3.2,47.6,47.5,4.8
25,2024-02-13,Siena College,MI,Phone,RV,1028,3.1,50.2,46,3.8
26,2024-02-16,Morning Consult,MI,Online,RV,963,3.2,49.1,48.8,2.1
27,2024-02-17,Emerson,PA,Mixed,RV,899,3.3,45.8,46.9,7.3
28,2024-02-18,Siena College,NAT,Phone,LV,909,3.3,47.6,45.5,6.9
29,2024-02-19,Siena College,PA,Phone,RV,1072,3,47.2,44.7,8.2
30,2024-02-20,YouGov,WI,Online,RV,1080,3,52,43.5,4.5
31,2024-02-21,YouGov,NAT,Online,RV,1109,2.9,48.3,50.5,1.2
32,2024-02-21,RMG Research,NAT,Mixed,RV,875,3.3,47.6,48.5,3.9
33,2024-02-23,Siena College,AZ,Phone,RV,1071,3,48.8,45,6.1
34,2024-02-24,Emerson,NAT,Mixed,RV,1176,2.9,49.7,45.3,5
35,2024-02-25,Morning Consult,NAT,Online,LV,980,3.1,47.9,45.6,6.5
36,2024-02-25,RMG Research,GA,Mixed,LV,1070,3,43.6,48.5,7.9
37,2024-02-26,RMG Research,GA,Mixed,LV,933,3.2,46.4,49.1,4.6
38,2024-02-27,RMG Research,NV,Mixed,LV,1016,3.1,46.7,50.3,3
39,2024-02-28,RMG Research,AZ,Mixed,LV,1103,3,48.2,45.7,6
40,2024-02-29,Siena College,NV,Phone,RV,1030,3.1,49.9,47.2,2.9
41,2024-02-29,RMG Research,NAT,Mixed,RV,1002,3.1,49.6,46.5,3.9
42,2024-02-29,RMG Research,NAT,Mixed,RV,1001,3.1,51.3,48.7,0.1
43,2024-02-29,RMG Research,WI,Mixed,RV,1029,3.1,47.6,48.3,4.1
44,2024-03-01,RMG Research,WI,Mixed,RV,915,3.2,45.9,47.5,6.6
45,2024-03-01,YouGov,GA,Online,LV,948,3.2,44.4,48.8,6.8
46,2024-03-02,Emerson,MI,Mixed,RV,1012,3.1,45.7,51,3.3
47,2024-03-04,Morning Consult,WI,Online,RV,845,3.4,48.3,47.6,4.2
48,2024-03-04,RMG Research,MI,Mixed,LV,947,3.2,47.6,44.7,7.7
49,2024-03-05,Emerson,PA,Mixed,RV,1251,2.8,44,51.1,5
50,2024-03-05,RMG Research,WI,Mixed,LV,1025,3.1,44.9,48.9,6.3
51,2024-03-06,RMG Research,MI,Mixed,RV,944,3.2,50.6,41.6,7.7
52,2024-03-06,Morning Consult,NAT,Online,RV,1129,2.9,44.4,55,0.6
53,2024-03-07,RMG Research,MI,Mixed,LV,911,3.2,49.2,46.7,4.1
54,2024-03-07,Morning Consult,WI,Online,RV,1011,3.1,47.6,48.7,3.7
55,2024-03-08,YouGov,NAT,Online,RV,1137,2.9,45.5,51.2,3.3
56,2024-03-11,YouGov,MI,Online,LV,1105,2.9,50.8,46.3,2.9
57,2024-03-11,Siena College,NAT,Phone,LV,1051,3,46.7,47.5,5.7
58,2024-03-11,RMG Research,GA,Mixed,RV,1027,3.1,50.7,45.8,3.5
