"poll_id","pollster_id","pollster","numeric_grade","pollscore","methodology","transparency_score","sample_size","population","population_full","party","answer","pct","state","candidate_name","end_date","candidate_binary","num_supporters"
88590,568,"YouGov",3,-1.1,"Online Panel",9,1414,"rv","rv","DEM","Harris",47,"National","Kamala Harris",2024-10-07,1,665
88590,568,"YouGov",3,-1.1,"Online Panel",9,1414,"rv","rv","REP","Trump",44,"National","Donald Trump",2024-10-07,0,622
88590,568,"YouGov",3,-1.1,"Online Panel",9,1230,"lv","lv","DEM","Harris",49,"National","Kamala Harris",2024-10-07,1,603
88590,568,"YouGov",3,-1.1,"Online Panel",9,1230,"lv","lv","REP","Trump",45,"National","Donald Trump",2024-10-07,0,554
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1272,"a","a","DEM","Harris",42,"National","Kamala Harris",2024-10-07,1,534
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1272,"a","a","REP","Trump",38,"National","Donald Trump",2024-10-07,0,483
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"rv","rv","DEM","Harris",46,"National","Kamala Harris",2024-10-07,1,495
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"rv","rv","REP","Trump",43,"National","Donald Trump",2024-10-07,0,463
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"lv","lv","DEM","Harris",47,"National","Kamala Harris",2024-10-07,1,506
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"lv","lv","REP","Trump",45,"National","Donald Trump",2024-10-07,0,484
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1272,"a","a","DEM","Harris",48,"National","Kamala Harris",2024-10-07,1,611
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1272,"a","a","REP","Trump",47,"National","Donald Trump",2024-10-07,0,598
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"rv","rv","DEM","Harris",50,"National","Kamala Harris",2024-10-07,1,538
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"rv","rv","REP","Trump",48,"National","Donald Trump",2024-10-07,0,516
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"lv","lv","DEM","Harris",51,"National","Kamala Harris",2024-10-07,1,549
88558,241,"Ipsos",2.8,-0.9,"Probability Panel",9.5,1076,"lv","lv","REP","Trump",49,"National","Donald Trump",2024-10-07,0,527
88591,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1007,"lv","lv","DEM","Harris",47,"Michigan","Kamala Harris",2024-10-07,1,473
88591,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1007,"lv","lv","REP","Trump",50,"Michigan","Donald Trump",2024-10-07,0,504
88591,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1007,"lv","lv","DEM","Harris",47,"Michigan","Kamala Harris",2024-10-07,1,473
88591,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1007,"lv","lv","REP","Trump",51,"Michigan","Donald Trump",2024-10-07,0,514
88592,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1412,"lv","lv","DEM","Harris",49,"Pennsylvania","Kamala Harris",2024-10-07,1,692
88592,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1412,"lv","lv","REP","Trump",46,"Pennsylvania","Donald Trump",2024-10-07,0,650
88592,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1412,"lv","lv","DEM","Harris",49,"Pennsylvania","Kamala Harris",2024-10-07,1,692
88592,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1412,"lv","lv","REP","Trump",47,"Pennsylvania","Donald Trump",2024-10-07,0,664
88593,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1073,"lv","lv","DEM","Harris",46,"Wisconsin","Kamala Harris",2024-10-07,1,494
88593,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1073,"lv","lv","REP","Trump",48,"Wisconsin","Donald Trump",2024-10-07,0,515
